Date,Open,High,Low,Close,Volume
2024-06-29,7.3553045393838765,7.3553045393838765,7.3553045393838765,7.3553045393838765,111596994.48264161
2024-06-30,7.154069560566676,7.154069560566676,7.154069560566676,7.154069560566676,55603985.22126269
2024-07-01,7.662384674526245,7.662384674526245,7.662384674526245,7.662384674526245,98228263.88619581
2024-07-02,7.523920334208186,7.523920334208186,7.523920334208186,7.523920334208186,125031119.52347247
2024-07-03,7.643063983000652,7.643063983000652,7.643063983000652,7.643063983000652,103725365.7200101
2024-07-04,7.048678511345406,7.048678511345406,7.048678511345406,7.048678511345406,142513272.56509212
2024-07-05,6.58581898091511,6.58581898091511,6.58581898091511,6.58581898091511,212378545.2227845
2024-07-06,6.383834113341997,6.383834113341997,6.383834113341997,6.383834113341997,329184735.7784469
2024-07-07,7.00886033748604,7.00886033748604,7.00886033748604,7.00886033748604,135502986.42164895
2024-07-08,6.342316195363705,6.342316195363705,6.342316195363705,6.342316195363705,116892577.17335266
2024-07-09,6.363086777305531,6.363086777305531,6.363086777305531,6.363086777305531,181211972.6556746
2024-07-10,6.4628677806938395,6.4628677806938395,6.4628677806938395,6.4628677806938395,128006509.99747604
2024-07-11,6.496774992056821,6.496774992056821,6.496774992056821,6.496774992056821,177242820.4461092
2024-07-12,6.013747580661156,6.013747580661156,6.013747580661156,6.013747580661156,204413394.97104672
2024-07-13,6.111889328651497,6.111889328651497,6.111889328651497,6.111889328651497,199669649.3139699
2024-07-14,6.025639643498195,6.025639643498195,6.025639643498195,6.025639643498195,96621355.86752038
2024-07-15,6.201651762039228,6.201651762039228,6.201651762039228,6.201651762039228,123587400.43452974
2024-07-16,6.745776759972798,6.745776759972798,6.745776759972798,6.745776759972798,342473587.5533215
2024-07-17,6.598025935236969,6.598025935236969,6.598025935236969,6.598025935236969,280586169.1001256
2024-07-18,6.719741178278137,6.719741178278137,6.719741178278137,6.719741178278137,224588029.91783002
2024-07-19,6.438852082411548,6.438852082411548,6.438852082411548,6.438852082411548,179715384.63722908
2024-07-20,6.654969518064555,6.654969518064555,6.654969518064555,6.654969518064555,108355594.6021928
2024-07-21,6.996758848748867,6.996758848748867,6.996758848748867,6.996758848748867,98345969.86730923
2024-07-22,7.170456389511847,7.170456389511847,7.170456389511847,7.170456389511847,127222774.8846971
2024-07-23,6.611526865588115,6.611526865588115,6.611526865588115,6.611526865588115,38307659.86206158
2024-07-24,6.500183712250983,6.500183712250983,6.500183712250983,6.500183712250983,31716407.405792102
2024-07-25,6.230032074625122,6.230032074625122,6.230032074625122,6.230032074625122,23686585.04102899
